time(micros),GSR
999,353.00
1000,353.00
1001,353.00
1001,353.00
1002,353.00
1002,353.00
1003,353.00
1004,353.00
1004,353.00
1005,352.00
1006,352.00
1006,353.00
1007,352.00
1008,353.00
1008,353.00
1009,353.00
1009,353.00
1010,353.00
1011,353.00
1011,353.00
1012,353.00
1013,353.00
1013,353.00
1014,353.00
1015,353.00
1015,353.00
1016,353.00
1016,353.00
1017,353.00
1018,353.00
1018,353.00
1019,353.00
1020,353.00
1020,354.00
1021,353.00
1022,353.00
1022,353.00
1024,353.00
1024,353.00
1025,353.00
1026,353.00
1026,353.00
1027,353.00
1028,353.00
1028,353.00
1029,353.00
1030,352.00
1030,353.00
1031,353.00
1031,353.00
1032,353.00
1033,354.00
1033,353.00
1034,353.00
1035,354.00
1035,353.00
1036,353.00
1037,354.00
1037,353.00
1038,353.00
1038,353.00
1039,353.00
1040,353.00
1040,353.00
1041,353.00
1042,353.00
1042,353.00
1043,353.00
1044,353.00
1044,353.00
1045,353.00
1045,353.00
1046,353.00
1047,353.00
1047,353.00
1048,353.00
1049,353.00
1049,353.00
1050,353.00
1051,353.00
1051,353.00
1052,353.00
1052,353.00
1053,353.00
1054,353.00
1054,353.00
1055,353.00
1056,354.00
1056,353.00
1057,354.00
1058,353.00
1058,353.00
1059,353.00
1059,353.00
1060,354.00
1061,353.00
1061,353.00
1062,353.00
1063,353.00
1063,353.00
1064,353.00
1065,353.00
1065,353.00
1067,353.00
1067,353.00
1068,353.00
1069,353.00
1069,353.00
1070,353.00
1071,353.00
1071,353.00
1072,353.00
1073,353.00
1073,353.00
1074,354.00
1075,354.00
1075,354.00
1076,354.00
1076,354.00
1077,354.00
1078,354.00
1078,354.00
1079,354.00
1080,353.00
1080,353.00
1081,353.00
1082,353.00
1082,353.00
1083,353.00
1083,353.00
1084,353.00
1085,353.00
1085,353.00
1086,353.00
1087,353.00
1087,353.00
1088,353.00
1089,353.00
1089,353.00
1090,353.00
1090,353.00
1091,353.00
1092,353.00
1092,353.00
1093,353.00
1094,353.00
1094,354.00
1095,354.00
1096,354.00
1096,353.00
1097,353.00
1097,353.00
1098,353.00
1099,353.00
1099,353.00
1100,353.00
1101,353.00
1101,353.00
1102,353.00
1103,353.00
1103,353.00
1104,353.00
1104,353.00
1105,353.00
1106,353.00
1106,353.00
1107,353.00
1108,353.00
1108,353.00
1110,353.00
1111,353.00
1111,353.00
1112,353.00
1112,353.00
1113,353.00
1114,353.00
1114,353.00
1115,354.00
1116,353.00
1116,354.00
1117,354.00
1118,354.00
1118,354.00
1119,353.00
1119,353.00
1120,354.00
1121,353.00
1121,354.00
1122,354.00
1123,353.00
1123,353.00
1124,353.00
1125,353.00
1125,353.00
1126,353.00
1126,353.00
1127,353.00
1128,353.00
1128,352.00
1129,353.00
1130,353.00
1130,353.00
1131,353.00
1132,353.00
1132,354.00
1133,354.00
1133,354.00
1134,354.00
1135,354.00
1135,353.00
1136,353.00
1137,354.00
1137,354.00
1138,353.00
1139,354.00
1139,354.00
1140,354.00
1140,353.00
1141,354.00
1142,353.00
1142,353.00
1143,353.00
1144,353.00
1144,353.00
1145,353.00
1146,353.00
1146,353.00
1147,353.00
1147,353.00
1148,353.00
1149,353.00
1149,353.00
1150,353.00
1152,353.00
1152,354.00
1153,354.00
1154,354.00
1154,354.00
1155,354.00
1155,354.00
1156,354.00
1157,354.00
1157,353.00
1158,353.00
1159,354.00
1159,354.00
1160,354.00
1161,353.00
1161,353.00
1162,354.00
1162,353.00
1163,353.00
1164,353.00
1164,353.00
1165,353.00
1166,353.00
1166,353.00
1167,353.00
1168,353.00
1168,353.00
1169,353.00
1169,353.00
1170,353.00
1171,353.00
1171,353.00
1172,353.00
1173,354.00
1173,354.00
1174,354.00
1175,354.00
1175,354.00
1176,354.00
1176,354.00
1177,354.00
1178,354.00
1178,354.00
1179,354.00
1180,354.00
1180,354.00
1181,353.00
1182,354.00
1182,353.00
1183,353.00
1183,353.00
1184,353.00
1185,353.00
1185,353.00
1186,353.00
1187,353.00
1187,353.00
1188,353.00
1189,353.00
1189,353.00
1190,353.00
1190,353.00
1191,354.00
1192,354.00
1192,354.00
1193,354.00
1195,354.00
1195,354.00
1196,354.00
1197,354.00
1197,354.00
1198,354.00
1198,354.00
1199,354.00
1200,354.00
1200,354.00
1201,354.00
1202,354.00
1202,353.00
1203,354.00
1204,354.00
1204,353.00
1205,353.00
1205,353.00
1206,353.00
1207,353.00
1207,353.00
1208,353.00
1209,353.00
1209,353.00
1210,353.00
1211,353.00
1211,353.00
1212,354.00
1212,354.00
1213,354.00
1214,354.00
1214,354.00
1215,354.00
1216,354.00
1216,354.00
1217,354.00
1218,354.00
1218,354.00
1219,354.00
1219,354.00
1220,354.00
1221,354.00
1221,353.00
1222,354.00
1223,354.00
1223,353.00
1224,353.00
1225,353.00
1225,354.00
1226,353.00
1226,353.00
1227,353.00
1228,353.00
1228,354.00
1229,353.00
1230,353.00
1230,354.00
1231,354.00
1232,354.00
1232,354.00
1233,354.00
1233,354.00
1234,354.00
1235,354.00
1235,354.00
1236,354.00
1238,354.00
1238,354.00
1239,354.00
1240,354.00
1240,354.00
1241,354.00
1241,354.00
1242,354.00
1243,354.00
1243,353.00
1244,354.00
1245,354.00
1245,353.00
1246,353.00
1247,353.00
1247,353.00
1248,353.00
1248,353.00
1249,353.00
1250,353.00
1250,354.00
1251,353.00
1252,354.00
1252,354.00
1253,354.00
1254,354.00
1254,355.00
1255,354.00
1255,354.00
1256,354.00
1257,354.00
1257,354.00
1258,354.00
1259,354.00
1259,354.00
1260,354.00
1261,354.00
1261,354.00
1262,354.00
1262,354.00
1263,353.00
1264,353.00
1264,353.00
1265,353.00
1266,353.00
1266,353.00
1267,353.00
1268,353.00
1268,353.00
1269,354.00
1269,354.00
1270,354.00
1271,354.00
1271,354.00
1272,354.00
1273,354.00
1273,354.00
1274,354.00
1275,354.00
1275,354.00
1276,354.00
1276,354.00
1277,354.00
1278,354.00
1278,354.00
1280,354.00
1281,354.00
1281,354.00
1282,354.00
1283,354.00
1283,354.00
1284,353.00
1284,353.00
1285,354.00
1286,353.00
1286,353.00
1287,354.00
1288,353.00
1288,353.00
1289,353.00
1290,353.00
1290,354.00
1291,354.00
1291,354.00
1292,354.00
1293,354.00
1293,354.00
1294,354.00
1295,354.00
1295,354.00
1296,354.00
1297,354.00
1297,354.00
1298,354.00
1298,354.00
1299,354.00
1300,354.00
1300,354.00
1301,354.00
1302,354.00
1302,354.00
1303,354.00
1304,354.00
1304,354.00
1305,354.00
1305,354.00
1306,354.00
1307,354.00
1307,353.00
1308,354.00
1309,353.00
1309,354.00
1310,354.00
1311,354.00
1311,354.00
1312,354.00
1312,354.00
1313,355.00
1314,354.00
1314,354.00
1315,354.00
1316,355.00
1316,354.00
1317,354.00
1318,354.00
1318,354.00
1319,354.00
1319,354.00
1320,354.00
1321,354.00
1321,354.00
1323,354.00
1324,354.00
1324,354.00
1325,354.00
1326,354.00
1326,354.00
1327,354.00
1327,354.00
1328,354.00
1329,354.00
1329,354.00
1330,354.00
1331,354.00
1331,354.00
1332,354.00
1333,354.00
1333,354.00
1334,355.00
1334,355.00
1335,355.00
1336,354.00
1336,354.00
1337,355.00
1338,354.00
1338,354.00
1339,354.00
1340,354.00
1340,355.00
1341,354.00
1341,354.00
1342,354.00
1343,354.00
1343,354.00
1344,354.00
1345,354.00
1345,354.00
1346,354.00
1347,353.00
1347,354.00
1348,353.00
1348,354.00
1349,354.00
1350,354.00
1350,354.00
1351,354.00
1352,355.00
1352,354.00
1353,355.00
1354,355.00
1354,355.00
1355,355.00
1355,354.00
1356,354.00
1357,355.00
1357,355.00
1358,354.00
1359,354.00
1359,354.00
1360,355.00
1361,354.00
1361,354.00
1362,354.00
1362,354.00
1363,354.00
