time(micros),GSR
999,691.00
1000,691.00
1001,691.00
1001,692.00
1002,692.00
1002,691.00
1003,692.00
1004,692.00
1004,692.00
1005,692.00
1006,691.00
1006,692.00
1007,692.00
1008,691.00
1008,692.00
1009,691.00
1009,691.00
1010,691.00
1011,691.00
1011,691.00
1012,692.00
1013,691.00
1013,691.00
1014,692.00
1015,691.00
1015,691.00
1016,691.00
1016,691.00
1017,691.00
1018,691.00
1018,691.00
1019,691.00
1020,692.00
1020,691.00
1021,691.00
1022,692.00
1022,691.00
1024,692.00
1024,692.00
1025,692.00
1026,692.00
1026,692.00
1027,692.00
1028,691.00
1028,691.00
1029,691.00
1030,691.00
1030,691.00
1031,691.00
1031,691.00
1032,692.00
1033,691.00
1033,692.00
1034,691.00
1035,692.00
1035,692.00
1036,692.00
1037,692.00
1037,691.00
1038,691.00
1038,691.00
1039,691.00
1040,691.00
1040,692.00
1041,692.00
1042,691.00
1042,691.00
1043,692.00
1044,691.00
1044,692.00
1045,692.00
1045,691.00
1046,691.00
1047,691.00
1047,691.00
1048,691.00
1049,692.00
1049,691.00
1050,691.00
1051,691.00
1051,691.00
1052,691.00
1052,692.00
1053,692.00
1054,691.00
1054,691.00
1055,691.00
1056,691.00
1056,691.00
1057,691.00
1058,692.00
1058,691.00
1059,692.00
1059,692.00
1060,691.00
1061,691.00
1061,692.00
1062,691.00
1063,691.00
1063,692.00
1064,691.00
1065,691.00
1065,691.00
1067,692.00
1067,691.00
1068,691.00
1069,691.00
1069,691.00
1070,691.00
1071,691.00
1071,691.00
1072,691.00
1073,692.00
1073,691.00
1074,691.00
1075,692.00
1075,691.00
1076,692.00
1076,691.00
1077,691.00
1078,691.00
1078,691.00
1079,691.00
1080,691.00
1080,691.00
1081,691.00
1082,691.00
1082,691.00
1083,691.00
1083,691.00
1084,692.00
1085,692.00
1085,691.00
1086,692.00
1087,691.00
1087,691.00
1088,691.00
1089,691.00
1089,691.00
1090,691.00
1090,692.00
1091,691.00
1092,691.00
1092,691.00
1093,691.00
1094,691.00
1094,691.00
1095,691.00
1096,692.00
1096,691.00
1097,692.00
1097,691.00
1098,692.00
1099,692.00
1099,691.00
1100,691.00
1101,691.00
1101,691.00
1102,691.00
1103,692.00
1103,691.00
1104,692.00
1104,691.00
1105,691.00
1106,692.00
1106,691.00
1107,691.00
1108,691.00
1108,691.00
1110,691.00
1111,691.00
1111,691.00
1112,691.00
1112,691.00
1113,691.00
1114,692.00
1114,691.00
1115,691.00
1116,691.00
1116,692.00
1117,692.00
1118,692.00
1118,692.00
1119,692.00
1119,691.00
1120,691.00
1121,691.00
1121,691.00
1122,691.00
1123,691.00
1123,691.00
1124,691.00
1125,691.00
1125,691.00
1126,691.00
1126,691.00
1127,691.00
1128,691.00
1128,691.00
1129,691.00
1130,691.00
1130,691.00
1131,691.00
1132,691.00
1132,692.00
1133,692.00
1133,692.00
1134,692.00
1135,692.00
1135,691.00
1136,691.00
1137,691.00
1137,691.00
1138,691.00
1139,691.00
1139,691.00
1140,691.00
1140,691.00
1141,691.00
1142,691.00
1142,691.00
1143,691.00
1144,691.00
1144,691.00
1145,692.00
1146,691.00
1146,691.00
1147,691.00
1147,691.00
1148,691.00
1149,691.00
1149,691.00
1150,691.00
1152,691.00
1152,692.00
1153,691.00
1154,691.00
1154,691.00
1155,691.00
1155,692.00
1156,692.00
1157,691.00
1157,691.00
1158,692.00
1159,691.00
1159,691.00
1160,692.00
1161,691.00
1161,691.00
1162,692.00
1162,692.00
1163,692.00
1164,692.00
1164,692.00
1165,692.00
1166,691.00
1166,692.00
1167,691.00
1168,691.00
1168,691.00
1169,691.00
1169,691.00
1170,691.00
1171,691.00
1171,691.00
1172,691.00
1173,691.00
1173,691.00
1174,691.00
1175,691.00
1175,691.00
1176,692.00
1176,691.00
1177,691.00
1178,691.00
1178,691.00
1179,691.00
1180,692.00
1180,691.00
1181,691.00
1182,691.00
1182,692.00
1183,692.00
1183,691.00
1184,691.00
1185,691.00
1185,691.00
1186,692.00
1187,692.00
1187,691.00
1188,691.00
1189,691.00
1189,691.00
1190,691.00
1190,691.00
1191,692.00
1192,692.00
1192,692.00
1193,691.00
1195,692.00
1195,691.00
1196,691.00
1197,691.00
1197,691.00
1198,691.00
1198,691.00
1199,691.00
1200,691.00
1200,692.00
1201,692.00
1202,692.00
1202,692.00
1203,691.00
1204,691.00
1204,691.00
1205,691.00
1205,692.00
1206,691.00
1207,692.00
1207,692.00
1208,691.00
1209,691.00
1209,692.00
1210,692.00
1211,691.00
1211,691.00
1212,691.00
1212,691.00
1213,691.00
1214,692.00
1214,691.00
1215,691.00
1216,692.00
1216,692.00
1217,692.00
1218,691.00
1218,691.00
1219,691.00
1219,692.00
1220,691.00
1221,691.00
1221,692.00
1222,691.00
1223,692.00
1223,692.00
1224,692.00
1225,691.00
1225,691.00
1226,691.00
1226,691.00
1227,691.00
1228,691.00
1228,691.00
1229,691.00
1230,691.00
1230,691.00
1231,691.00
1232,691.00
1232,691.00
1233,692.00
1233,691.00
1234,691.00
1235,692.00
1235,691.00
1236,692.00
1238,691.00
1238,692.00
1239,691.00
1240,691.00
1240,692.00
1241,691.00
1241,691.00
1242,692.00
1243,691.00
1243,691.00
1244,691.00
1245,691.00
1245,692.00
1246,691.00
1247,691.00
1247,691.00
1248,692.00
1248,692.00
1249,691.00
1250,692.00
1250,691.00
1251,691.00
1252,691.00
1252,692.00
1253,692.00
1254,691.00
1254,692.00
1255,691.00
1255,692.00
1256,692.00
1257,692.00
1257,692.00
1258,692.00
1259,691.00
1259,691.00
1260,691.00
1261,691.00
1261,692.00
1262,692.00
1262,691.00
1263,691.00
1264,692.00
1264,692.00
1265,692.00
1266,691.00
1266,692.00
1267,691.00
1268,691.00
1268,691.00
1269,691.00
1269,691.00
1270,691.00
1271,691.00
1271,691.00
1272,691.00
1273,692.00
1273,692.00
1274,692.00
1275,692.00
1275,691.00
1276,691.00
1276,691.00
1277,691.00
1278,691.00
1278,691.00
1280,691.00
1281,691.00
1281,691.00
1282,691.00
1283,692.00
1283,692.00
1284,692.00
1284,692.00
1285,692.00
1286,691.00
1286,691.00
1287,692.00
1288,691.00
1288,691.00
1289,692.00
1290,691.00
1290,692.00
1291,691.00
1291,691.00
1292,691.00
1293,691.00
1293,692.00
1294,691.00
1295,692.00
1295,692.00
1296,691.00
1297,691.00
1297,692.00
1298,691.00
1298,691.00
1299,691.00
1300,691.00
1300,691.00
1301,691.00
1302,692.00
1302,691.00
1303,692.00
1304,691.00
1304,691.00
1305,692.00
1305,692.00
1306,691.00
1307,692.00
1307,692.00
1308,691.00
1309,691.00
1309,691.00
1310,691.00
1311,691.00
1311,692.00
1312,691.00
1312,691.00
1313,691.00
1314,691.00
1314,692.00
1315,691.00
1316,691.00
1316,691.00
1317,691.00
1318,691.00
1318,691.00
1319,691.00
1319,691.00
1320,692.00
1321,691.00
1321,691.00
1323,691.00
1324,691.00
1324,692.00
1325,692.00
1326,692.00
1326,692.00
1327,692.00
1327,692.00
1328,692.00
1329,692.00
1329,691.00
1330,692.00
1331,691.00
1331,691.00
1332,691.00
1333,691.00
1333,691.00
1334,692.00
1334,691.00
1335,692.00
1336,691.00
1336,691.00
1337,691.00
1338,692.00
1338,691.00
1339,692.00
1340,691.00
1340,692.00
1341,692.00
1341,692.00
1342,692.00
1343,692.00
1343,691.00
1344,692.00
1345,692.00
1345,692.00
1346,692.00
1347,691.00
1347,691.00
1348,691.00
1348,691.00
1349,691.00
1350,691.00
1350,691.00
1351,691.00
1352,691.00
1352,691.00
1353,691.00
1354,692.00
1354,692.00
1355,692.00
1355,692.00
1356,691.00
1357,691.00
1357,691.00
1358,692.00
1359,692.00
1359,692.00
1360,692.00
1361,692.00
1361,691.00
1362,691.00
1362,692.00
1363,691.00
1364,691.00
1364,692.00
1366,691.00
1367,692.00
1367,691.00
1368,691.00
1369,691.00
1369,691.00
1370,691.00
1370,691.00
1371,691.00
1372,692.00
1372,691.00
1373,691.00
1374,691.00
1374,691.00
1375,692.00
1376,692.00
1376,691.00
1377,692.00
1377,691.00
1378,691.00
1379,692.00
1379,691.00
1380,691.00
1381,691.00
1381,691.00
1382,691.00
1383,691.00
1383,691.00
1384,692.00
1384,692.00
1385,692.00
1386,692.00
1386,692.00
1387,692.00
1388,692.00
1388,692.00
1389,692.00
1390,691.00
1390,691.00
1391,691.00
1391,691.00
1392,691.00
1393,692.00
1393,691.00
1394,691.00
1395,692.00
1395,692.00
1396,692.00
1397,692.00
1397,692.00
1398,691.00
1398,691.00
1399,691.00
1400,691.00
1400,691.00
1401,691.00
1402,691.00
1402,692.00
1403,692.00
1404,692.00
1404,692.00
1405,692.00
1405,691.00
1406,691.00
1408,691.00
1408,691.00
1409,691.00
1410,692.00
1410,692.00
1411,691.00
1412,691.00
1412,691.00
1413,692.00
1413,691.00
1414,691.00
1415,692.00
1415,692.00
1416,692.00
1417,691.00
1417,692.00
1418,691.00
1419,691.00
1419,692.00
1420,691.00
1420,691.00
1421,691.00
1422,691.00
1422,691.00
1423,691.00
1424,692.00
1424,691.00
1425,692.00
1426,692.00
1426,691.00
1427,692.00
1427,691.00
1428,691.00
1429,691.00
1429,691.00
1430,691.00
1431,691.00
1431,691.00
1432,691.00
1433,692.00
1433,692.00
1434,692.00
1434,692.00
1435,692.00
1436,692.00
1436,692.00
1437,691.00
1438,691.00
1438,691.00
1439,691.00
1440,691.00
1440,691.00
1441,691.00
1441,692.00
1442,692.00
1443,691.00
1443,691.00
1444,692.00
1445,692.00
1445,692.00
1446,692.00
1447,691.00
1447,692.00
1448,691.00
1448,691.00
1449,692.00
1451,691.00
1451,691.00
1452,691.00
1453,692.00
1453,692.00
1454,691.00
1455,691.00
1455,692.00
1456,691.00
1456,692.00
1457,692.00
1458,692.00
1458,691.00
1459,692.00
1460,691.00
1460,691.00
1461,691.00
1462,691.00
1462,692.00
1463,691.00
1463,691.00
1464,692.00
1465,692.00
1465,692.00
1466,692.00
1467,692.00
1467,691.00
1468,691.00
1469,692.00
1469,691.00
1470,691.00
1470,692.00
1471,692.00
1472,691.00
1472,692.00
1473,692.00
1474,692.00
1474,692.00
1475,692.00
1476,691.00
1476,692.00
1477,692.00
1477,692.00
1478,692.00
1479,692.00
1479,691.00
1480,692.00
1481,692.00
1481,692.00
1482,691.00
1483,692.00
1483,692.00
1484,691.00
1484,692.00
1485,692.00
1486,692.00
1486,692.00
1487,692.00
1488,691.00
1488,692.00
1489,691.00
1490,692.00
1490,691.00
1491,691.00
1491,691.00
1492,692.00
1494,692.00
1494,692.00
1495,692.00
1496,691.00
1496,692.00
1497,691.00
1498,692.00
1498,692.00
1499,692.00
1499,692.00
1500,692.00
1501,691.00
1501,691.00
1502,692.00
1503,692.00
1503,692.00
1504,692.00
1505,692.00
1505,692.00
1506,692.00
1506,692.00
1507,692.00
1508,691.00
1508,691.00
1509,691.00
1510,691.00
1510,692.00
1511,692.00
1512,691.00
1512,691.00
1513,692.00
1513,692.00
1514,691.00
1515,692.00
1515,692.00
1516,691.00
1517,692.00
1517,691.00
1518,692.00
1519,692.00
1519,692.00
1520,692.00
1520,691.00
1521,691.00
1522,691.00
1522,691.00
1523,692.00
1524,692.00
1524,691.00
1525,692.00
1526,692.00
1526,692.00
1527,691.00
1527,692.00
1528,691.00
1529,691.00
1529,691.00
1530,691.00
1531,691.00
1531,692.00
1532,692.00
1533,691.00
1533,691.00
1534,692.00
1534,692.00
1536,691.00
1537,692.00
1537,691.00
1538,691.00
1539,691.00
1539,691.00
1540,691.00
1541,691.00
1541,691.00
1542,691.00
1542,691.00
1543,692.00
1544,691.00
1544,691.00
1545,692.00
1546,692.00
1546,692.00
1547,692.00
1548,692.00
1548,692.00
1549,691.00
1549,691.00
1550,691.00
1551,691.00
1551,691.00
1552,692.00
1553,691.00
1553,691.00
1554,691.00
1555,691.00
1555,691.00
1556,691.00
1556,691.00
1557,692.00
1558,691.00
1558,691.00
1559,691.00
1560,691.00
1560,691.00
1561,692.00
1562,691.00
1562,692.00
1563,692.00
1563,692.00
1564,692.00
1565,692.00
1565,692.00
1566,692.00
1567,692.00
1567,692.00
1568,691.00
1569,691.00
1569,691.00
1570,691.00
1570,691.00
1571,692.00
1572,691.00
1572,691.00
1573,692.00
1574,691.00
1574,691.00
1575,692.00
1576,692.00
1576,691.00
1577,692.00
1577,691.00
1579,691.00
1580,691.00
1580,691.00
1581,691.00
1582,692.00
1582,691.00
1583,691.00
1584,691.00
1584,691.00
1585,691.00
1585,691.00
1586,691.00
1587,691.00
1587,692.00
1588,692.00
1589,692.00
1589,692.00
1590,692.00
1591,691.00
1591,691.00
1592,692.00
1592,691.00
1593,691.00
1594,692.00
1594,691.00
1595,691.00
1596,692.00
1596,691.00
1597,692.00
1598,691.00
1598,691.00
1599,691.00
1599,691.00
1600,691.00
1601,691.00
1601,691.00
1602,692.00
1603,691.00
1603,692.00
1604,691.00
1605,692.00
1605,692.00
1606,692.00
1606,692.00
1607,692.00
1608,692.00
1608,691.00
1609,691.00
1610,691.00
1610,691.00
1611,691.00
1612,691.00
1612,692.00
1613,692.00
1613,692.00
1614,692.00
1615,691.00
1615,692.00
1616,691.00
1617,692.00
1617,691.00
1618,691.00
1619,691.00
1619,691.00
1620,691.00
1620,691.00
1622,691.00
1623,691.00
1623,691.00
1624,692.00
1625,692.00
1625,692.00
1626,692.00
1627,692.00
1627,691.00
1628,691.00
1628,691.00
1629,691.00
1630,691.00
1630,691.00
1631,691.00
1632,691.00
1632,691.00
1633,691.00
1634,692.00
1634,692.00
1635,692.00
1635,692.00
1636,691.00
1637,692.00
1637,691.00
1638,692.00
1639,691.00
1639,691.00
1640,691.00
1641,692.00
1641,691.00
1642,692.00
1642,692.00
1643,692.00
1644,691.00
1644,692.00
1645,691.00
1646,691.00
1646,691.00
1647,691.00
1648,691.00
1648,691.00
1649,691.00
1649,691.00
1650,691.00
1651,691.00
1651,691.00
1652,691.00
1653,691.00
1653,692.00
1654,692.00
1655,692.00
1655,692.00
1656,691.00
1656,692.00
1657,692.00
1658,692.00
1658,691.00
1659,691.00
1660,691.00
1660,691.00
1661,691.00
1662,691.00
1662,691.00
1664,691.00
1664,691.00
1665,691.00
1666,692.00
1666,691.00
1667,692.00
1668,692.00
1668,692.00
1669,691.00
1670,692.00
1670,692.00
1671,691.00
1671,691.00
1672,691.00
1673,691.00
1673,692.00
1674,692.00
1675,692.00
1675,692.00
1676,692.00
1677,691.00
1677,691.00
1678,691.00
1678,691.00
1679,691.00
1680,692.00
1680,691.00
1681,691.00
1682,692.00
1682,691.00
1683,691.00
1684,692.00
1684,691.00
1685,691.00
1685,692.00
1686,692.00
1687,692.00
1687,691.00
1688,692.00
1689,691.00
1689,691.00
1690,691.00
1691,691.00
1691,691.00
1692,691.00
1692,691.00
1693,692.00
1694,692.00
1694,692.00
1695,692.00
1696,691.00
1696,691.00
1697,691.00
1698,691.00
1698,691.00
1699,691.00
1699,691.00
1700,691.00
1701,691.00
1701,691.00
1702,692.00
1703,691.00
1703,691.00
1704,686.00
1705,681.00
1705,679.00
1707,679.00
1707,674.00
1708,670.00
1709,667.00
1709,663.00
1710,660.00
1711,657.00
1711,653.00
1712,651.00
1713,648.00
1713,645.00
1714,643.00
1714,640.00
1715,637.00
1716,635.00
1716,633.00
1717,630.00
1718,627.00
1718,625.00
1719,622.00
1720,620.00
1720,618.00
1721,616.00
1721,613.00
1722,611.00
1723,609.00
1723,607.00
1724,605.00
1725,603.00
1725,600.00
1726,598.00
1727,597.00
1727,595.00
1728,592.00
1728,590.00
1729,588.00
1730,586.00
1730,584.00
1731,582.00
1732,580.00
1732,578.00
1733,577.00
1734,575.00
1734,573.00
1735,571.00
1735,569.00
1736,567.00
1737,565.00
1737,563.00
1738,561.00
1739,559.00
1739,558.00
1740,556.00
1741,554.00
1741,553.00
1742,551.00
1742,549.00
1743,548.00
1744,546.00
1744,545.00
1745,543.00
1746,541.00
1746,540.00
1747,538.00
1748,537.00
1748,535.00
1750,534.00
1750,532.00
1751,530.00
1752,529.00
1752,527.00
1753,526.00
1754,524.00
1754,522.00
1755,521.00
1756,520.00
1756,518.00
1757,517.00
1757,515.00
1758,514.00
1759,512.00
1759,511.00
1760,510.00
1761,508.00
1761,507.00
1762,506.00
1763,504.00
1763,503.00
1764,502.00
1764,501.00
1765,500.00
1766,498.00
1766,497.00
1767,496.00
1768,494.00
1768,493.00
1769,492.00
1770,491.00
1770,489.00
1771,488.00
1771,487.00
1772,486.00
1773,485.00
1773,483.00
1774,482.00
1775,481.00
1775,480.00
1776,479.00
1777,478.00
1777,477.00
1778,475.00
1778,474.00
1779,473.00
1780,472.00
1780,471.00
1781,470.00
1782,469.00
1782,468.00
1783,467.00
1784,466.00
1784,465.00
1785,464.00
1785,463.00
1786,462.00
1787,461.00
1787,460.00
1788,459.00
1789,458.00
1789,457.00
1790,456.00
1792,455.00
1792,454.00
1793,453.00
1793,452.00
1794,451.00
1795,450.00
1795,449.00
1796,448.00
1797,447.00
1797,446.00
1798,445.00
1799,444.00
1799,443.00
1800,442.00
1800,441.00
1801,441.00
1802,440.00
1802,439.00
1803,438.00
1804,437.00
1804,437.00
1805,436.00
1806,435.00
1806,435.00
1807,434.00
1807,433.00
1808,432.00
1809,431.00
1809,430.00
1810,429.00
1811,429.00
1811,428.00
1812,427.00
1813,426.00
1813,426.00
1814,425.00
1814,424.00
1815,423.00
1816,422.00
1816,422.00
1817,421.00
1818,421.00
1818,419.00
1819,419.00
1820,418.00
1820,417.00
1821,417.00
1821,416.00
1822,415.00
1823,415.00
1823,414.00
1824,414.00
1825,413.00
1825,413.00
1826,412.00
1827,411.00
1827,410.00
1828,410.00
1828,409.00
1829,409.00
1830,408.00
1830,407.00
1831,406.00
1832,406.00
1832,405.00
1833,405.00
1835,404.00
1835,403.00
1836,403.00
1836,402.00
1837,401.00
1838,401.00
1838,400.00
1839,400.00
1840,399.00
1840,398.00
1841,398.00
1842,398.00
1842,397.00
1843,397.00
1843,396.00
1844,395.00
1845,395.00
1845,395.00
1846,394.00
1847,394.00
1847,393.00
1848,393.00
1849,392.00
1849,391.00
1850,391.00
1850,390.00
1851,390.00
1852,389.00
1852,389.00
1853,388.00
1854,388.00
1854,388.00
1855,387.00
1856,387.00
1856,386.00
1857,385.00
1857,385.00
1858,384.00
1859,384.00
1859,383.00
1860,384.00
1861,382.00
1861,382.00
1862,382.00
1863,381.00
1863,381.00
1864,381.00
1864,381.00
1865,380.00
1866,380.00
1866,379.00
1867,379.00
1868,379.00
1868,378.00
1869,378.00
1870,377.00
1870,377.00
1871,376.00
1871,376.00
1872,375.00
1873,375.00
1873,375.00
1874,374.00
1875,374.00
1875,373.00
1876,373.00
1878,372.00
1878,372.00
1879,371.00
1879,371.00
1880,371.00
1881,371.00
1881,370.00
1882,370.00
1883,370.00
1883,369.00
1884,369.00
1885,369.00
1885,368.00
1886,369.00
1886,368.00
1887,368.00
1888,367.00
1888,367.00
1889,366.00
1890,366.00
1890,366.00
1891,366.00
1892,365.00
1892,365.00
1893,365.00
1893,364.00
1894,364.00
1895,364.00
1895,363.00
1896,363.00
1897,363.00
1897,362.00
1898,362.00
1899,361.00
1899,361.00
1900,361.00
1900,360.00
1901,360.00
1902,360.00
1902,360.00
1903,360.00
1904,360.00
1904,360.00
1905,359.00
1906,359.00
1906,359.00
1907,358.00
1907,358.00
1908,358.00
1909,357.00
1909,357.00
1910,357.00
1911,357.00
1911,356.00
1912,356.00
1913,356.00
1913,356.00
1914,355.00
1914,355.00
1915,355.00
1916,354.00
1916,354.00
1917,354.00
1918,353.00
1918,353.00
1920,353.00
1921,353.00
1921,352.00
1922,352.00
1922,352.00
1923,352.00
1924,352.00
1924,351.00
1925,352.00
1926,352.00
1926,351.00
1927,351.00
1928,351.00
1928,351.00
1929,350.00
1929,350.00
1930,350.00
1931,350.00
1931,349.00
1932,349.00
1933,349.00
1933,349.00
1934,349.00
1935,348.00
1935,348.00
1936,348.00
1936,348.00
1937,348.00
1938,348.00
1938,347.00
1939,347.00
1940,347.00
1940,346.00
1941,346.00
1942,346.00
1942,346.00
1943,346.00
1943,346.00
1944,346.00
1945,346.00
1945,345.00
1946,345.00
1947,345.00
1947,345.00
1948,344.00
1949,344.00
1949,344.00
1950,344.00
1950,343.00
1951,343.00
1952,343.00
1952,343.00
1953,343.00
1954,343.00
1954,343.00
1955,343.00
1956,342.00
1956,342.00
1957,342.00
1957,342.00
1958,341.00
1959,341.00
1959,341.00
1960,341.00
1961,341.00
1961,340.00
1963,340.00
1964,341.00
1964,340.00
1965,340.00
1965,341.00
1966,340.00
1967,340.00
1967,340.00
1968,340.00
1969,340.00
1969,339.00
1970,339.00
1971,339.00
1971,339.00
1972,339.00
1972,339.00
1973,339.00
1974,339.00
1974,339.00
1975,338.00
1976,338.00
1976,338.00
1977,337.00
1978,338.00
1978,337.00
1979,337.00
1979,337.00
1980,337.00
1981,336.00
1981,337.00
1982,337.00
1983,336.00
1983,337.00
1984,336.00
1985,337.00
1985,337.00
1986,337.00
1986,336.00
1987,336.00
1988,336.00
1988,336.00
1989,336.00
1990,335.00
1990,335.00
1991,335.00
1992,335.00
1992,335.00
1993,335.00
1993,335.00
1994,335.00
1995,335.00
1995,334.00
1996,335.00
1997,334.00
1997,334.00
1998,334.00
1999,334.00
1999,334.00
2000,334.00
2000,333.00
2001,333.00
2002,333.00
2002,333.00
2003,334.00
2004,333.00
2004,333.00
2006,333.00
2007,333.00
2007,333.00
2008,333.00
2008,333.00
2009,333.00
2010,332.00
2010,332.00
2011,332.00
2012,332.00
2012,332.00
2013,332.00
2014,332.00
2014,332.00
2015,332.00
2015,332.00
2016,332.00
2017,331.00
2017,331.00
2018,331.00
2019,331.00
2019,331.00
2020,331.00
2021,331.00
2021,331.00
2022,331.00
2022,331.00
2023,331.00
2024,331.00
2024,331.00
2025,331.00
2026,331.00
2026,331.00
2027,331.00
2028,331.00
2028,330.00
2029,330.00
2029,330.00
2030,330.00
2031,330.00
2031,330.00
2032,330.00
2033,330.00
2033,330.00
2034,330.00
2035,330.00
2035,330.00
2036,329.00
2036,329.00
2037,329.00
2038,329.00
2038,329.00
2039,329.00
2040,329.00
2040,328.00
2041,328.00
2042,329.00
2042,329.00
2043,329.00
2043,329.00
2044,329.00
2045,329.00
2045,329.00
2046,329.00
2048,329.00
2048,328.00
2049,329.00
2050,328.00
2050,328.00
2051,328.00
2051,328.00
2052,328.00
2053,328.00
2053,328.00
2054,328.00
2055,328.00
2055,328.00
2056,328.00
2057,328.00
2057,328.00
2058,328.00
2058,327.00
2059,327.00
2060,327.00
2060,327.00
2061,327.00
2062,327.00
2062,326.00
2063,327.00
2064,327.00
2064,327.00
2065,327.00
2065,327.00
2066,327.00
2067,327.00
2067,327.00
2068,327.00
2069,327.00
2069,327.00
2070,326.00
2071,326.00
2071,326.00
2072,326.00
2072,327.00
2073,327.00
2074,326.00
2074,326.00
2075,326.00
2076,326.00
2076,326.00
2077,326.00
2078,325.00
2078,326.00
2079,326.00
2079,326.00
2080,326.00
2081,326.00
2081,325.00
2082,325.00
2083,326.00
2083,326.00
2084,326.00
2085,326.00
2085,326.00
2086,326.00
2086,326.00
2087,326.00
2088,326.00
2088,326.00
2089,326.00
2091,325.00
2091,325.00
2092,325.00
2093,325.00
2093,325.00
2094,325.00
2094,325.00
2095,325.00
2096,325.00
2096,325.00
2097,325.00
2098,325.00
2098,325.00
2099,324.00
2100,324.00
2100,324.00
2101,324.00
2101,324.00
2102,324.00
2103,325.00
2103,325.00
2104,325.00
2105,325.00
2105,325.00
2106,325.00
2107,325.00
2107,325.00
2108,324.00
2108,324.00
2109,325.00
2110,324.00
2110,324.00
2111,324.00
2112,324.00
2112,324.00
2113,324.00
2114,324.00
2114,324.00
2115,324.00
2115,324.00
2116,324.00
2117,324.00
2117,324.00
2118,324.00
2119,324.00
2119,323.00
2120,323.00
2121,323.00
2121,323.00
2122,323.00
2122,324.00
2123,323.00
2124,324.00
2124,324.00
2125,324.00
2126,324.00
2126,324.00
2127,324.00
2128,324.00
2128,324.00
2129,324.00
2129,324.00
2130,323.00
2131,323.00
2131,324.00
2132,324.00
2134,324.00
2134,324.00
2135,324.00
2136,323.00
2136,323.00
2137,323.00
2137,323.00
2138,323.00
2139,323.00
2139,323.00
2140,323.00
2141,323.00
2141,323.00
2142,323.00
2143,323.00
2143,323.00
2144,323.00
2144,323.00
2145,323.00
2146,323.00
2146,323.00
2147,323.00
2148,323.00
2148,324.00
2149,323.00
2150,323.00
2150,323.00
2151,323.00
2151,323.00
2152,323.00
2153,323.00
2153,323.00
2154,323.00
2155,323.00
2155,323.00
2156,323.00
2157,323.00
