time(micros),GSR
1000,696.00
1001,696.00
1002,696.00
1004,696.00
1005,696.00
1006,696.00
1008,696.00
1009,696.00
1010,695.00
1011,696.00
1013,696.00
1014,696.00
1015,696.00
1016,696.00
1018,696.00
1019,696.00
1020,696.00
1022,696.00
1024,695.00
1025,696.00
1026,696.00
1028,696.00
1029,696.00
1030,696.00
1031,696.00
1033,696.00
1034,696.00
1035,695.00
1037,696.00
1038,696.00
1039,696.00
1040,695.00
1042,696.00
1043,696.00
1044,696.00
1045,695.00
1047,696.00
1048,696.00
1049,696.00
1051,696.00
1052,696.00
1053,695.00
1054,695.00
1056,695.00
1057,695.00
1058,695.00
1059,695.00
1061,695.00
1062,696.00
1063,695.00
1065,696.00
1067,696.00
1068,696.00
1069,696.00
1071,696.00
1072,696.00
1073,696.00
1075,696.00
1076,695.00
1077,696.00
1078,696.00
1080,696.00
1081,695.00
1082,695.00
1083,695.00
1085,696.00
1086,696.00
1087,695.00
1089,695.00
1090,696.00
1091,696.00
1092,696.00
1094,696.00
1095,696.00
1096,695.00
1097,696.00
1099,696.00
1100,695.00
1101,695.00
1103,696.00
1104,695.00
1105,696.00
1106,696.00
1108,696.00
1110,696.00
1111,695.00
1112,696.00
1114,695.00
1115,696.00
1116,695.00
1118,695.00
1119,696.00
1120,695.00
1121,696.00
1123,695.00
1124,695.00
1125,696.00
1126,696.00
1128,696.00
1129,696.00
1130,695.00
1132,696.00
1133,696.00
1134,695.00
1135,696.00
1137,696.00
1138,696.00
1139,695.00
1140,696.00
1142,695.00
1143,695.00
1144,696.00
1146,695.00
1147,696.00
1148,696.00
1149,696.00
1152,696.00
1153,696.00
1154,695.00
1155,696.00
1157,695.00
1158,695.00
1159,695.00
1161,695.00
1162,696.00
1163,696.00
1164,695.00
1166,696.00
1167,696.00
1168,695.00
1169,696.00
1171,695.00
1172,696.00
1173,696.00
1175,695.00
1176,696.00
1177,695.00
1178,695.00
1180,696.00
1181,695.00
1182,695.00
1183,696.00
1185,696.00
1186,696.00
1187,696.00
1189,695.00
1190,696.00
1191,695.00
1192,695.00
1195,695.00
1196,695.00
1197,695.00
1198,695.00
1200,695.00
1201,696.00
1202,695.00
1204,695.00
1205,695.00
1206,696.00
1207,695.00
1209,696.00
1210,696.00
1211,695.00
1212,695.00
1214,695.00
1215,696.00
1216,695.00
1218,696.00
1219,696.00
1220,695.00
1221,695.00
1223,695.00
1224,695.00
1225,696.00
1226,696.00
1228,696.00
1229,696.00
1230,696.00
1232,696.00
1233,696.00
1234,696.00
1235,696.00
1238,695.00
1239,695.00
1240,695.00
1241,695.00
1243,695.00
1244,695.00
1245,696.00
1247,696.00
1248,696.00
1249,695.00
1250,695.00
1252,695.00
1253,695.00
1254,695.00
1255,695.00
1257,696.00
1258,695.00
1259,695.00
1261,695.00
1262,695.00
1263,695.00
1264,695.00
1266,695.00
1267,695.00
1268,696.00
1269,695.00
1271,695.00
1272,696.00
1273,695.00
1275,695.00
1276,696.00
1277,696.00
1278,696.00
1281,695.00
1282,695.00
1283,696.00
1284,695.00
1286,696.00
1287,695.00
1288,695.00
1290,696.00
1291,696.00
1292,696.00
1293,695.00
1295,695.00
1296,695.00
1297,695.00
1298,695.00
1300,695.00
1301,695.00
1302,695.00
1304,696.00
1305,696.00
1306,696.00
1307,696.00
1309,696.00
1310,696.00
1311,695.00
1312,695.00
1314,695.00
