time(micros),GSR
999,475.00
1000,475.00
1001,475.00
1001,475.00
1002,475.00
1002,476.00
1003,475.00
1004,475.00
1004,475.00
1005,475.00
1006,475.00
1006,475.00
1007,475.00
1008,475.00
1008,475.00
1009,475.00
1009,475.00
1010,475.00
1011,475.00
1011,475.00
1012,475.00
1013,475.00
1013,475.00
1014,475.00
1015,475.00
1015,475.00
1016,475.00
1016,475.00
1017,475.00
1018,475.00
1018,476.00
1019,476.00
1020,476.00
1020,476.00
1021,476.00
1022,476.00
1022,475.00
1024,476.00
1024,476.00
1025,475.00
1026,475.00
1026,475.00
1027,476.00
1028,475.00
1028,475.00
1029,475.00
1030,475.00
1030,475.00
1031,475.00
1031,475.00
1032,475.00
1033,475.00
1033,475.00
1034,475.00
1035,475.00
1035,475.00
1036,475.00
1037,475.00
1037,475.00
1038,475.00
1038,475.00
1039,476.00
1040,476.00
1040,476.00
1041,476.00
1042,476.00
1042,476.00
1043,475.00
1044,476.00
1044,476.00
1045,475.00
1045,476.00
1046,475.00
1047,475.00
1047,475.00
1048,475.00
1049,475.00
1049,476.00
1050,476.00
1051,475.00
1051,475.00
1052,475.00
1052,475.00
1053,475.00
1054,475.00
1054,475.00
1055,475.00
1056,475.00
1056,475.00
1057,475.00
1058,475.00
1058,476.00
1059,476.00
1059,476.00
1060,476.00
1061,476.00
1061,475.00
1062,476.00
1063,475.00
1063,475.00
1064,475.00
1065,475.00
1065,475.00
1067,475.00
1067,475.00
1068,475.00
1069,475.00
1069,476.00
1070,475.00
1071,475.00
1071,475.00
1072,475.00
1073,475.00
1073,475.00
1074,475.00
1075,475.00
1075,475.00
1076,475.00
1076,475.00
1077,475.00
1078,475.00
1078,475.00
1079,475.00
1080,476.00
1080,475.00
1081,475.00
1082,476.00
1082,476.00
1083,476.00
1083,475.00
1084,476.00
1085,475.00
1085,475.00
1086,475.00
1087,475.00
1087,475.00
1088,475.00
1089,475.00
1089,475.00
1090,475.00
1090,476.00
1091,475.00
1092,475.00
1092,475.00
1093,475.00
1094,475.00
1094,475.00
1095,475.00
1096,475.00
1096,475.00
1097,475.00
1097,475.00
1098,475.00
1099,475.00
1099,475.00
1100,475.00
1101,475.00
1101,475.00
1102,476.00
1103,475.00
1103,475.00
1104,475.00
1104,475.00
1105,475.00
1106,475.00
1106,475.00
1107,475.00
1108,475.00
1108,475.00
1110,475.00
1111,475.00
1111,475.00
1112,475.00
1112,475.00
1113,475.00
1114,475.00
1114,475.00
1115,475.00
1116,475.00
1116,475.00
1117,475.00
1118,475.00
1118,475.00
1119,475.00
1119,475.00
1120,476.00
1121,475.00
1121,475.00
1122,475.00
1123,475.00
1123,475.00
1124,476.00
1125,475.00
1125,475.00
1126,475.00
1126,475.00
1127,475.00
1128,475.00
1128,475.00
1129,475.00
1130,475.00
1130,475.00
1131,475.00
1132,475.00
1132,475.00
1133,475.00
1133,475.00
1134,475.00
1135,475.00
1135,475.00
1136,475.00
1137,475.00
1137,475.00
1138,475.00
1139,475.00
1139,475.00
1140,475.00
1140,475.00
1141,476.00
1142,475.00
1142,475.00
1143,475.00
1144,475.00
1144,475.00
1145,475.00
1146,475.00
1146,475.00
1147,475.00
1147,475.00
1148,475.00
1149,475.00
1149,475.00
1150,475.00
1152,475.00
1152,475.00
1153,475.00
1154,475.00
1154,475.00
1155,475.00
1155,474.00
1156,475.00
1157,475.00
1157,475.00
1158,475.00
1159,475.00
1159,475.00
1160,475.00
1161,475.00
1161,475.00
1162,476.00
1162,475.00
1163,475.00
1164,475.00
1164,475.00
1165,475.00
1166,475.00
1166,475.00
1167,475.00
1168,475.00
1168,475.00
1169,475.00
1169,475.00
1170,475.00
1171,475.00
1171,475.00
1172,475.00
1173,475.00
1173,475.00
1174,475.00
1175,475.00
1175,475.00
1176,475.00
1176,475.00
1177,475.00
1178,475.00
1178,475.00
1179,475.00
1180,475.00
1180,475.00
1181,475.00
1182,475.00
1182,475.00
1183,475.00
1183,475.00
1184,475.00
1185,475.00
1185,475.00
1186,475.00
1187,475.00
1187,475.00
1188,475.00
1189,475.00
1189,475.00
1190,475.00
1190,475.00
1191,475.00
1192,475.00
1192,475.00
1193,475.00
1195,475.00
1195,475.00
1196,474.00
1197,475.00
1197,475.00
1198,475.00
1198,475.00
1199,475.00
1200,475.00
1200,475.00
1201,475.00
1202,475.00
1202,475.00
1203,475.00
1204,475.00
1204,475.00
1205,475.00
1205,475.00
1206,475.00
1207,475.00
1207,475.00
1208,475.00
1209,475.00
1209,475.00
1210,475.00
1211,475.00
1211,475.00
1212,475.00
1212,475.00
1213,475.00
1214,475.00
1214,475.00
1215,474.00
1216,475.00
1216,475.00
1217,475.00
1218,475.00
1218,475.00
1219,475.00
1219,475.00
1220,475.00
1221,476.00
1221,475.00
1222,475.00
1223,475.00
1223,475.00
1224,475.00
1225,475.00
1225,475.00
1226,475.00
1226,475.00
1227,475.00
1228,475.00
1228,475.00
1229,475.00
1230,475.00
1230,475.00
1231,475.00
1232,475.00
1232,475.00
1233,475.00
1233,475.00
1234,475.00
1235,474.00
1235,475.00
1236,475.00
1238,475.00
1238,475.00
1239,475.00
1240,475.00
1240,475.00
1241,475.00
1241,475.00
1242,475.00
1243,475.00
1243,475.00
1244,475.00
1245,475.00
1245,475.00
1246,475.00
1247,475.00
1247,475.00
1248,475.00
1248,475.00
1249,475.00
1250,475.00
1250,475.00
1251,475.00
1252,475.00
1252,475.00
1253,475.00
1254,475.00
1254,475.00
1255,475.00
1255,475.00
1256,475.00
1257,475.00
1257,475.00
1258,475.00
1259,475.00
1259,475.00
1260,475.00
1261,475.00
1261,475.00
1262,475.00
1262,475.00
1263,475.00
1264,475.00
1264,475.00
1265,475.00
1266,475.00
1266,475.00
1267,475.00
1268,475.00
1268,475.00
1269,475.00
1269,475.00
1270,475.00
1271,475.00
1271,475.00
1272,475.00
1273,475.00
1273,474.00
1274,474.00
1275,474.00
1275,475.00
1276,475.00
1276,475.00
1277,475.00
1278,475.00
1278,475.00
1280,475.00
1281,475.00
1281,475.00
1282,475.00
1283,475.00
1283,475.00
1284,475.00
1284,475.00
1285,475.00
1286,475.00
1286,475.00
1287,475.00
1288,475.00
1288,475.00
1289,475.00
1290,475.00
1290,475.00
1291,475.00
1291,475.00
1292,475.00
1293,475.00
1293,474.00
1294,475.00
1295,475.00
1295,475.00
1296,475.00
1297,475.00
1297,475.00
1298,475.00
1298,475.00
1299,475.00
1300,475.00
1300,475.00
1301,475.00
1302,475.00
1302,475.00
1303,475.00
1304,475.00
1304,475.00
1305,475.00
1305,475.00
1306,475.00
1307,475.00
1307,475.00
1308,475.00
1309,475.00
1309,475.00
1310,475.00
1311,475.00
1311,475.00
1312,475.00
1312,475.00
1313,475.00
1314,474.00
1314,474.00
1315,475.00
1316,475.00
1316,475.00
1317,475.00
1318,475.00
1318,475.00
1319,475.00
1319,475.00
1320,475.00
1321,475.00
1321,475.00
1323,475.00
1324,475.00
1324,475.00
1325,475.00
1326,475.00
1326,475.00
1327,475.00
1327,475.00
1328,475.00
1329,475.00
1329,475.00
1330,475.00
1331,475.00
1331,475.00
1332,475.00
1333,475.00
1333,474.00
1334,474.00
1334,474.00
1335,474.00
1336,475.00
1336,475.00
1337,475.00
1338,475.00
1338,475.00
1339,475.00
1340,475.00
1340,475.00
1341,475.00
1341,475.00
1342,475.00
1343,475.00
1343,475.00
1344,475.00
1345,475.00
1345,475.00
1346,475.00
1347,475.00
1347,475.00
1348,475.00
1348,475.00
1349,475.00
1350,474.00
1350,475.00
1351,474.00
1352,475.00
1352,475.00
1353,474.00
1354,474.00
1354,474.00
1355,475.00
1355,474.00
1356,475.00
1357,475.00
1357,475.00
1358,475.00
1359,475.00
1359,475.00
1360,475.00
1361,475.00
1361,475.00
1362,476.00
1362,475.00
1363,475.00
1364,475.00
1364,475.00
1366,475.00
1367,475.00
1367,475.00
1368,475.00
1369,475.00
1369,475.00
1370,475.00
1370,475.00
1371,475.00
1372,475.00
1372,475.00
1373,475.00
1374,474.00
1374,475.00
1375,475.00
1376,475.00
1376,474.00
1377,474.00
1377,475.00
1378,475.00
1379,475.00
1379,475.00
1380,475.00
1381,475.00
1381,475.00
1382,475.00
1383,475.00
1383,475.00
1384,475.00
1384,475.00
1385,475.00
1386,475.00
1386,475.00
1387,475.00
1388,475.00
1388,475.00
1389,475.00
1390,475.00
1390,475.00
1391,475.00
1391,475.00
1392,475.00
1393,474.00
1393,474.00
1394,474.00
1395,474.00
1395,474.00
1396,475.00
1397,475.00
1397,475.00
1398,475.00
1398,475.00
1399,475.00
1400,475.00
1400,475.00
1401,475.00
1402,475.00
1402,475.00
1403,475.00
1404,475.00
1404,475.00
1405,475.00
1405,475.00
1406,475.00
1408,475.00
1408,475.00
1409,475.00
1410,475.00
1410,475.00
1411,474.00
1412,475.00
1412,475.00
1413,474.00
1413,475.00
1414,475.00
1415,475.00
1415,475.00
1416,475.00
1417,475.00
1417,475.00
1418,475.00
1419,475.00
1419,475.00
1420,475.00
1420,475.00
1421,476.00
1422,475.00
1422,475.00
1423,475.00
1424,475.00
1424,475.00
1425,475.00
1426,475.00
1426,475.00
1427,475.00
1427,475.00
1428,474.00
1429,475.00
1429,475.00
1430,475.00
1431,475.00
1431,475.00
1432,475.00
1433,475.00
1433,475.00
1434,474.00
1434,474.00
1435,474.00
1436,475.00
1436,475.00
1437,475.00
1438,475.00
1438,475.00
1439,476.00
1440,475.00
1440,475.00
1441,475.00
1441,475.00
1442,475.00
1443,475.00
1443,475.00
1444,475.00
1445,475.00
1445,475.00
1446,475.00
1447,475.00
1447,475.00
1448,475.00
1448,475.00
1449,475.00
1451,475.00
1451,475.00
1452,475.00
1453,475.00
1453,474.00
1454,475.00
1455,474.00
1455,474.00
1456,475.00
1456,475.00
1457,475.00
1458,475.00
1458,475.00
1459,475.00
1460,475.00
1460,475.00
1461,475.00
1462,475.00
1462,475.00
1463,475.00
1463,475.00
1464,475.00
1465,475.00
1465,475.00
1466,475.00
1467,475.00
1467,475.00
1468,475.00
1469,475.00
1469,475.00
1470,475.00
1470,475.00
1471,475.00
1472,474.00
1472,474.00
1473,474.00
1474,475.00
1474,475.00
1475,475.00
1476,475.00
1476,475.00
1477,475.00
1477,475.00
1478,475.00
1479,475.00
1479,475.00
1480,476.00
1481,475.00
1481,475.00
1482,475.00
1483,475.00
1483,475.00
1484,475.00
1484,475.00
1485,475.00
1486,475.00
1486,475.00
1487,475.00
1488,475.00
1488,475.00
1489,475.00
1490,475.00
1490,475.00
1491,475.00
1491,475.00
1492,474.00
1494,474.00
1494,475.00
1495,474.00
1496,474.00
1496,475.00
1497,475.00
1498,475.00
1498,475.00
1499,475.00
1499,475.00
1500,475.00
1501,475.00
1501,475.00
1502,475.00
1503,475.00
1503,475.00
1504,475.00
1505,475.00
1505,475.00
1506,475.00
1506,475.00
1507,475.00
1508,475.00
1508,475.00
1509,475.00
1510,475.00
1510,475.00
1511,475.00
1512,475.00
1512,475.00
1513,474.00
1513,474.00
1514,474.00
1515,474.00
1515,474.00
1516,475.00
1517,475.00
1517,475.00
1518,475.00
1519,475.00
1519,475.00
1520,475.00
1520,475.00
1521,475.00
1522,475.00
1522,475.00
1523,475.00
1524,475.00
1524,475.00
1525,475.00
1526,475.00
1526,475.00
1527,475.00
1527,475.00
1528,475.00
1529,475.00
1529,475.00
1530,475.00
1531,475.00
1531,475.00
1532,474.00
1533,475.00
1533,474.00
1534,474.00
1534,474.00
1536,474.00
1537,474.00
1537,475.00
1538,475.00
1539,475.00
1539,475.00
1540,475.00
1541,475.00
1541,475.00
1542,475.00
1542,475.00
1543,475.00
1544,475.00
1544,475.00
1545,475.00
1546,475.00
1546,475.00
1547,475.00
1548,475.00
1548,475.00
1549,475.00
1549,475.00
1550,475.00
1551,475.00
1551,475.00
1552,474.00
1553,474.00
1553,474.00
1554,475.00
1555,474.00
1555,474.00
1556,475.00
1556,475.00
1557,475.00
1558,475.00
1558,475.00
1559,475.00
1560,475.00
1560,475.00
1561,475.00
1562,475.00
1562,475.00
1563,475.00
1563,475.00
1564,475.00
1565,475.00
1565,475.00
1566,475.00
1567,475.00
1567,475.00
1568,475.00
1569,475.00
1569,475.00
1570,475.00
1570,474.00
1571,475.00
1572,475.00
1572,475.00
1573,475.00
1574,475.00
1574,474.00
1575,474.00
1576,474.00
1576,475.00
1577,475.00
1577,475.00
1579,475.00
1580,475.00
1580,475.00
1581,475.00
1582,475.00
1582,475.00
1583,475.00
1584,475.00
1584,475.00
1585,475.00
1585,475.00
1586,474.00
1587,475.00
1587,475.00
1588,475.00
1589,475.00
1589,475.00
1590,475.00
1591,475.00
1591,475.00
1592,475.00
1592,475.00
1593,475.00
1594,475.00
1594,475.00
1595,475.00
1596,474.00
1596,474.00
1597,475.00
1598,475.00
1598,475.00
1599,475.00
1599,475.00
1600,475.00
1601,475.00
1601,475.00
1602,475.00
1603,475.00
1603,475.00
1604,475.00
1605,475.00
1605,475.00
1606,475.00
1606,475.00
1607,475.00
1608,474.00
1608,475.00
1609,475.00
1610,475.00
1610,475.00
1611,474.00
1612,475.00
1612,474.00
1613,475.00
1613,474.00
1614,474.00
1615,475.00
1615,475.00
1616,475.00
1617,475.00
1617,475.00
1618,475.00
1619,475.00
1619,475.00
1620,475.00
1620,475.00
1622,475.00
1623,475.00
1623,475.00
1624,475.00
1625,475.00
1625,475.00
1626,475.00
1627,475.00
1627,475.00
1628,475.00
1628,475.00
1629,475.00
1630,475.00
1630,475.00
1631,475.00
1632,475.00
1632,475.00
1633,475.00
1634,475.00
1634,475.00
1635,475.00
1635,474.00
1636,474.00
1637,474.00
1637,475.00
1638,475.00
1639,475.00
1639,475.00
1640,475.00
1641,475.00
1641,475.00
1642,475.00
1642,475.00
1643,475.00
1644,475.00
1644,475.00
1645,475.00
1646,475.00
1646,475.00
1647,475.00
1648,475.00
1648,475.00
1649,475.00
1650,475.00
1650,475.00
1651,475.00
1651,475.00
1652,475.00
1653,474.00
1653,474.00
1654,475.00
1655,475.00
1655,474.00
1656,475.00
1657,475.00
1657,475.00
1658,475.00
1658,475.00
1659,475.00
1660,475.00
1660,475.00
1661,475.00
1662,475.00
1662,475.00
1664,475.00
1665,475.00
1665,475.00
1666,475.00
1666,475.00
1667,475.00
1668,475.00
1668,475.00
1669,475.00
1670,475.00
1670,475.00
1671,475.00
1672,475.00
1672,475.00
1673,474.00
1673,474.00
1674,474.00
1675,474.00
1675,475.00
1676,474.00
1677,475.00
1677,475.00
1678,475.00
1679,475.00
1679,475.00
1680,475.00
1680,475.00
1681,475.00
1682,475.00
1682,475.00
1683,475.00
1684,475.00
1684,475.00
1685,475.00
1686,475.00
1686,475.00
1687,475.00
1687,475.00
1688,475.00
1689,475.00
1689,475.00
1690,475.00
1691,475.00
1691,475.00
1692,475.00
1693,475.00
1693,475.00
1694,475.00
1694,475.00
1695,475.00
1696,475.00
1696,475.00
1697,475.00
1698,475.00
1698,475.00
1699,475.00
1700,476.00
1700,475.00
1701,475.00
1701,475.00
1702,475.00
1703,475.00
1703,475.00
1704,475.00
1705,475.00
1705,475.00
1707,475.00
1708,475.00
1708,475.00
1709,475.00
1709,475.00
1710,475.00
1711,475.00
1711,475.00
1712,475.00
1713,475.00
1713,475.00
1714,474.00
1715,475.00
1715,474.00
1716,474.00
1716,475.00
1717,475.00
1718,475.00
1718,475.00
1719,475.00
1720,475.00
1720,475.00
1721,475.00
1722,475.00
1722,475.00
1723,475.00
1723,475.00
1724,475.00
1725,475.00
1725,475.00
1726,475.00
1727,475.00
1727,475.00
1728,475.00
1729,475.00
1729,475.00
1730,475.00
1730,475.00
1731,474.00
1732,475.00
1732,475.00
1733,475.00
1734,475.00
1734,475.00
1735,475.00
1736,475.00
1736,474.00
1737,475.00
1737,475.00
1738,475.00
1739,475.00
1739,475.00
1740,475.00
1741,475.00
1741,475.00
1742,475.00
1743,475.00
1743,475.00
1744,475.00
1744,475.00
1745,475.00
1746,475.00
1746,475.00
1747,475.00
1748,475.00
1748,475.00
1750,475.00
1751,475.00
1751,475.00
1752,475.00
1752,475.00
1753,475.00
1754,475.00
1754,475.00
1755,475.00
1756,475.00
1756,475.00
1757,475.00
1758,475.00
1758,475.00
1759,475.00
1759,475.00
1760,475.00
1761,475.00
1761,475.00
1762,475.00
1763,476.00
1763,475.00
1764,475.00
1765,475.00
1765,475.00
1766,475.00
1766,475.00
1767,475.00
1768,475.00
1768,475.00
1769,475.00
1770,475.00
1770,475.00
1771,474.00
1772,474.00
1772,475.00
1773,475.00
1773,474.00
1774,475.00
1775,475.00
1775,475.00
1776,475.00
1777,475.00
1777,475.00
1778,475.00
1779,475.00
1779,475.00
1780,475.00
1780,475.00
1781,475.00
1782,475.00
1782,475.00
1783,475.00
1784,475.00
1784,475.00
1785,475.00
1786,475.00
1786,475.00
1787,475.00
1787,475.00
1788,475.00
1789,475.00
1789,475.00
1790,475.00
1792,475.00
1792,475.00
1793,474.00
1794,475.00
1794,475.00
1795,475.00
1795,475.00
1796,475.00
1797,475.00
1797,475.00
1798,475.00
1799,475.00
1799,475.00
1800,475.00
1801,475.00
1801,475.00
1802,475.00
1802,475.00
1803,475.00
1804,475.00
1804,475.00
1805,475.00
1806,475.00
1806,475.00
1807,475.00
1808,475.00
1808,475.00
1809,475.00
1809,475.00
1810,475.00
1811,475.00
1811,475.00
1812,475.00
1813,474.00
1813,475.00
1814,475.00
1815,475.00
1815,475.00
1816,475.00
1816,475.00
1817,475.00
1818,475.00
1818,475.00
1819,475.00
1820,475.00
1820,475.00
1821,476.00
1822,475.00
1822,475.00
1823,475.00
1823,475.00
1824,475.00
1825,475.00
1825,475.00
1826,475.00
1827,475.00
1827,475.00
1828,474.00
1829,475.00
1829,475.00
1830,475.00
1830,475.00
1831,475.00
1832,475.00
1832,475.00
1833,474.00
1835,475.00
1835,475.00
1836,475.00
1837,475.00
1837,475.00
1838,475.00
1838,475.00
1839,475.00
1840,475.00
1840,475.00
1841,475.00
1842,475.00
1842,476.00
1843,475.00
1844,475.00
1844,475.00
1845,475.00
1845,475.00
1846,475.00
1847,475.00
1847,475.00
1848,475.00
1849,475.00
1849,475.00
1850,475.00
1851,475.00
1851,475.00
1852,475.00
1852,475.00
1853,475.00
1854,475.00
1854,475.00
1855,475.00
1856,475.00
1856,475.00
1857,475.00
1858,475.00
1858,475.00
1859,475.00
1859,475.00
1860,475.00
1861,475.00
1861,475.00
1862,475.00
1863,475.00
1863,475.00
1864,475.00
1865,475.00
1865,475.00
1866,475.00
1866,475.00
1867,475.00
1868,475.00
1868,475.00
1869,475.00
1870,475.00
1870,475.00
1871,475.00
1872,475.00
1872,475.00
1873,475.00
1873,475.00
1874,475.00
1875,475.00
1875,475.00
1876,475.00
1878,475.00
1878,475.00
1879,475.00
1880,475.00
1880,475.00
1881,475.00
1881,475.00
1882,475.00
1883,475.00
1883,475.00
1884,475.00
1885,475.00
1885,475.00
1886,475.00
1887,475.00
1887,475.00
1888,475.00
1888,475.00
1889,475.00
1890,475.00
1890,475.00
1891,475.00
1892,475.00
1892,475.00
1893,475.00
1894,475.00
1894,475.00
1895,475.00
1895,475.00
1896,475.00
1897,475.00
1897,475.00
1898,475.00
1899,475.00
1899,476.00
1900,475.00
1901,475.00
1901,475.00
1902,475.00
1902,475.00
1903,475.00
1904,475.00
1904,475.00
1905,475.00
1906,475.00
1906,475.00
1907,475.00
1908,475.00
1908,475.00
1909,475.00
1909,475.00
1910,475.00
1911,475.00
1911,475.00
1912,475.00
1913,475.00
1913,475.00
1914,475.00
1915,475.00
1915,475.00
1916,475.00
1916,475.00
1917,475.00
1918,475.00
1918,475.00
1920,475.00
1921,475.00
1921,475.00
1922,475.00
1923,475.00
1923,475.00
1924,476.00
1924,475.00
1925,475.00
1926,475.00
1926,475.00
1927,475.00
1928,475.00
1928,475.00
1929,475.00
1930,475.00
1930,475.00
1931,475.00
1931,475.00
1932,475.00
1933,475.00
1933,475.00
1934,475.00
1935,475.00
1935,475.00
1936,475.00
1937,475.00
1937,475.00
1938,475.00
1938,476.00
1939,475.00
1940,475.00
1940,475.00
1941,475.00
1942,475.00
1942,475.00
1943,476.00
1944,475.00
1944,475.00
1945,475.00
1945,475.00
1946,475.00
1947,475.00
1947,475.00
1948,475.00
1949,475.00
1949,475.00
1950,475.00
1951,475.00
1951,475.00
1952,475.00
1952,474.00
1953,475.00
1954,475.00
1954,475.00
1955,475.00
1956,475.00
1956,475.00
1957,475.00
1958,475.00
1958,475.00
1959,475.00
1959,475.00
1960,475.00
1961,475.00
1961,475.00
1963,476.00
1964,475.00
1964,475.00
1965,475.00
1966,475.00
1966,475.00
1967,475.00
1967,475.00
1968,475.00
1969,475.00
1969,475.00
1970,475.00
1971,475.00
1971,475.00
1972,475.00
1973,475.00
1973,475.00
1974,475.00
1975,474.00
1975,475.00
1976,475.00
1976,475.00
1977,475.00
1978,475.00
1978,475.00
1979,475.00
1980,475.00
1980,475.00
1981,475.00
1982,475.00
1982,475.00
1983,475.00
1983,475.00
1984,475.00
1985,475.00
1985,475.00
1986,475.00
1987,475.00
1987,475.00
1988,475.00
1989,475.00
1989,475.00
1990,475.00
1990,475.00
1991,475.00
1992,475.00
1992,475.00
1993,475.00
1994,474.00
1994,475.00
1995,475.00
1996,475.00
1996,475.00
1997,475.00
1997,475.00
1998,475.00
1999,475.00
1999,475.00
2000,475.00
2001,475.00
2001,475.00
2002,475.00
2003,475.00
2003,475.00
2004,475.00
2004,475.00
2006,475.00
2007,475.00
2007,475.00
2008,475.00
2009,475.00
2009,475.00
2010,475.00
2011,475.00
2011,475.00
2012,475.00
2012,475.00
2013,475.00
2014,474.00
2014,475.00
2015,475.00
2016,475.00
2016,475.00
2017,475.00
2018,475.00
2018,475.00
2019,475.00
2019,475.00
2020,476.00
2021,475.00
2021,475.00
2022,475.00
2023,475.00
2023,475.00
2024,475.00
2025,475.00
2025,475.00
2026,475.00
2026,475.00
2027,475.00
2028,475.00
2028,475.00
2029,475.00
2030,475.00
2030,475.00
2031,475.00
2032,475.00
2032,474.00
2033,475.00
2033,475.00
2034,475.00
2035,475.00
2035,475.00
2036,475.00
2037,475.00
2037,475.00
2038,475.00
2039,475.00
2039,475.00
2040,475.00
2040,476.00
2041,476.00
2042,475.00
2042,475.00
2043,475.00
2044,475.00
2044,475.00
2045,475.00
2046,475.00
2046,475.00
2048,475.00
2048,475.00
2049,475.00
2050,475.00
2050,475.00
2051,475.00
2052,475.00
2052,475.00
2053,475.00
2054,475.00
2054,475.00
2055,475.00
2055,475.00
2056,475.00
2057,475.00
2057,475.00
2058,475.00
2059,475.00
2059,475.00
2060,475.00
2061,475.00
2061,475.00
2062,475.00
2062,475.00
2063,475.00
2064,475.00
2064,475.00
2065,475.00
2066,475.00
2066,475.00
2067,475.00
2068,475.00
2068,475.00
2069,475.00
2069,475.00
2070,475.00
2071,475.00
2071,475.00
2072,475.00
2073,475.00
2073,475.00
2074,475.00
2075,475.00
2075,475.00
2076,475.00
2076,475.00
2077,475.00
2078,475.00
2078,475.00
2079,475.00
2080,475.00
2080,475.00
2081,475.00
2082,475.00
2082,475.00
2083,475.00
2083,475.00
2084,475.00
2085,475.00
2085,475.00
2086,475.00
2087,475.00
2087,475.00
2088,475.00
2089,475.00
2089,475.00
2091,475.00
2091,475.00
2092,475.00
2093,475.00
2093,475.00
2094,475.00
2095,475.00
2095,475.00
2096,475.00
2097,475.00
2097,475.00
2098,475.00
2098,475.00
2099,475.00
2100,475.00
2100,475.00
2101,475.00
2102,475.00
2102,475.00
2103,475.00
2104,475.00
2104,475.00
2105,475.00
2105,475.00
2106,475.00
2107,475.00
2107,475.00
2108,475.00
2109,475.00
2109,475.00
2110,475.00
2111,475.00
2111,475.00
2112,475.00
2112,475.00
2113,475.00
2114,475.00
2114,475.00
2115,475.00
2116,475.00
2116,475.00
2117,475.00
2118,475.00
2118,475.00
2119,475.00
2119,475.00
2120,475.00
2121,475.00
2121,475.00
2122,475.00
2123,475.00
2123,475.00
2124,475.00
2125,475.00
2125,475.00
2126,475.00
2126,475.00
2127,475.00
2128,475.00
2128,475.00
2129,475.00
2130,475.00
2130,475.00
2131,475.00
2132,475.00
2132,475.00
2134,475.00
2134,475.00
2135,475.00
2136,475.00
2136,475.00
2137,475.00
2138,475.00
2138,475.00
2139,475.00
2140,475.00
2140,475.00
2141,475.00
2141,476.00
2142,475.00
2143,475.00
2143,476.00
2144,475.00
2145,475.00
2145,475.00
2146,475.00
2147,475.00
2147,475.00
2148,475.00
2148,475.00
2149,475.00
2150,475.00
2150,475.00
2151,475.00
2152,475.00
2152,475.00
2153,475.00
2154,475.00
2154,474.00
2155,475.00
2155,475.00
2156,475.00
2157,475.00
2157,475.00
2158,475.00
2159,475.00
2159,475.00
2160,475.00
2161,475.00
2161,475.00
2162,475.00
2162,475.00
2163,475.00
2164,475.00
2164,475.00
2165,475.00
2166,475.00
2166,475.00
2167,475.00
2168,475.00
2168,475.00
2169,475.00
2169,475.00
2170,475.00
2171,475.00
2171,475.00
2172,475.00
2173,475.00
2173,475.00
2174,474.00
2176,475.00
2176,475.00
2177,475.00
2177,475.00
2178,475.00
2179,475.00
2179,475.00
2180,475.00
2181,475.00
2181,475.00
2182,475.00
2183,475.00
2183,475.00
2184,475.00
2184,475.00
2185,475.00
2186,475.00
2186,475.00
2187,475.00
2188,475.00
2188,475.00
2189,475.00
2190,475.00
2190,475.00
2191,475.00
2191,475.00
2192,475.00
