time(micros),GSR
999,698.00
1000,697.00
1001,697.00
1001,697.00
1002,698.00
1002,698.00
1003,698.00
1004,698.00
1004,698.00
1005,698.00
1006,698.00
1006,698.00
1007,698.00
1008,698.00
1008,698.00
1009,698.00
1009,698.00
1010,698.00
1011,698.00
1011,698.00
1012,698.00
1013,698.00
1013,698.00
1014,698.00
1015,698.00
1015,698.00
1016,698.00
1016,698.00
1017,698.00
1018,698.00
1018,698.00
1019,698.00
1020,698.00
1020,698.00
1021,698.00
1022,698.00
1022,698.00
1024,698.00
1024,698.00
1025,698.00
1026,698.00
1026,698.00
1027,698.00
1028,698.00
1028,698.00
1029,698.00
1030,698.00
1030,698.00
1031,698.00
1031,698.00
1032,698.00
1033,698.00
1033,698.00
1034,698.00
1035,698.00
1035,698.00
1036,698.00
1037,698.00
1037,698.00
1038,698.00
1038,698.00
1039,698.00
1040,698.00
1040,698.00
1041,698.00
1042,698.00
1042,698.00
1043,698.00
1044,698.00
1044,698.00
1045,698.00
1045,698.00
1046,698.00
1047,698.00
1047,698.00
1048,698.00
1049,698.00
1049,698.00
1050,698.00
1051,698.00
1051,698.00
1052,698.00
1052,698.00
1053,698.00
1054,698.00
1054,698.00
1055,698.00
1056,698.00
1056,698.00
1057,697.00
1058,698.00
1058,698.00
1059,698.00
1059,698.00
1060,698.00
1061,698.00
1061,698.00
1062,698.00
1063,698.00
1063,698.00
1064,698.00
1065,698.00
1065,698.00
1067,698.00
1067,698.00
1068,698.00
1069,698.00
1069,698.00
1070,697.00
1071,698.00
1071,698.00
1072,698.00
1073,698.00
1073,698.00
1074,698.00
1075,698.00
1075,698.00
1076,698.00
1076,698.00
1077,698.00
1078,698.00
1078,698.00
1079,698.00
1080,698.00
1080,698.00
1081,698.00
1082,698.00
1082,698.00
1083,698.00
1083,698.00
1084,698.00
1085,698.00
1085,698.00
1086,698.00
1087,698.00
1087,698.00
1088,698.00
1089,697.00
1089,698.00
1090,698.00
1090,698.00
1091,698.00
1092,698.00
1092,698.00
1093,698.00
1094,697.00
1094,698.00
1095,698.00
1096,698.00
1096,698.00
1097,698.00
1097,698.00
1098,698.00
